category,age,year,division,population
movie_goers,25-34,2013,pacific,89
movie_goers,25-34,2013,south,160
movie_goers,25-34,2013,south_east,72
movie_goers,25-34,2013,south_west,88
movie_goers,25-34,2013,west_central,78
movie_goers,35-44,2013,east_central,71
movie_goers,35-44,2013,north_east,93
movie_goers,35-44,2013,pacific,111
movie_goers,35-44,2013,south,198
movie_goers,35-44,2013,south_east,76
movie_goers,35-44,2013,south_west,122
movie_goers,35-44,2013,west_central,85
movie_goers,45-54,2013,east_central,64
movie_goers,45-54,2013,north_east,131
movie_goers,45-54,2013,pacific,112
movie_goers,45-54,2013,south,170
movie_goers,45-54,2013,south_east,74
movie_goers,45-54,2013,south_west,96
movie_goers,45-54,2013,west_central,87
movie_goers,55+,2013,east_central,78
movie_goers,55+,2013,north_east,176
movie_goers,55+,2013,pacific,141
movie_goers,55+,2013,south,247
movie_goers,55+,2013,south_east,145
movie_goers,55+,2013,south_west,102
movie_goers,55+,2013,west_central,109
supermarket_goer_last_4_weeks,18-24,2013,east_central,30
supermarket_goer_last_4_weeks,18-24,2013,north_east,48
supermarket_goer_last_4_weeks,18-24,2013,pacific,74
supermarket_goer_last_4_weeks,18-24,2013,south,77
supermarket_goer_last_4_weeks,18-24,2013,south_east,26
supermarket_goer_last_4_weeks,18-24,2013,south_west,51
supermarket_goer_last_4_weeks,18-24,2013,west_central,52
supermarket_goer_last_4_weeks,25-34,2013,east_central,51
supermarket_goer_last_4_weeks,25-34,2013,north_east,59
supermarket_goer_last_4_weeks,25-34,2013,pacific,86
supermarket_goer_last_4_weeks,25-34,2013,south,157
supermarket_goer_last_4_weeks,25-34,2013,south_east,72
supermarket_goer_last_4_weeks,25-34,2013,south_west,85
supermarket_goer_last_4_weeks,25-34,2013,west_central,77
supermarket_goer_last_4_weeks,35-44,2013,east_central,71
supermarket_goer_last_4_weeks,35-44,2013,north_east,93
supermarket_goer_last_4_weeks,35-44,2013,pacific,110
supermarket_goer_last_4_weeks,35-44,2013,south,196
supermarket_goer_last_4_weeks,35-44,2013,south_east,74
supermarket_goer_last_4_weeks,35-44,2013,south_west,122
supermarket_goer_last_4_weeks,35-44,2013,west_central,83
supermarket_goer_last_4_weeks,45-54,2013,east_central,64
supermarket_goer_last_4_weeks,45-54,2013,north_east,128
supermarket_goer_last_4_weeks,45-54,2013,pacific,109
supermarket_goer_last_4_weeks,45-54,2013,south,169
supermarket_goer_last_4_weeks,45-54,2013,south_east,74
supermarket_goer_last_4_weeks,45-54,2013,south_west,95
supermarket_goer_last_4_weeks,45-54,2013,west_central,86
supermarket_goer_last_4_weeks,55+,2013,east_central,77
supermarket_goer_last_4_weeks,55+,2013,north_east,171
supermarket_goer_last_4_weeks,55+,2013,pacific,137
supermarket_goer_last_4_weeks,55+,2013,south,244
supermarket_goer_last_4_weeks,55+,2013,south_east,144
supermarket_goer_last_4_weeks,55+,2013,south_west,100
supermarket_goer_last_4_weeks,55+,2013,west_central,108
tablet_owner,18-24,2013,east_central,3
tablet_owner,18-24,2013,north_east,13
tablet_owner,18-24,2013,pacific,12
tablet_owner,18-24,2013,south,19
tablet_owner,18-24,2013,south_east,9
tablet_owner,18-24,2013,south_west,10
tablet_owner,18-24,2013,west_central,16
tablet_owner,25-34,2013,east_central,10
tablet_owner,25-34,2013,north_east,22
tablet_owner,25-34,2013,pacific,29
tablet_owner,25-34,2013,south,48
tablet_owner,25-34,2013,south_east,21
tablet_owner,25-34,2013,south_west,27
tablet_owner,25-34,2013,west_central,26
tablet_owner,35-44,2013,east_central,26
tablet_owner,35-44,2013,north_east,41
tablet_owner,35-44,2013,pacific,48
tablet_owner,35-44,2013,south,82
tablet_owner,35-44,2013,south_east,32
tablet_owner,35-44,2013,south_west,50
tablet_owner,35-44,2013,west_central,25
tablet_owner,45-54,2013,east_central,21
tablet_owner,45-54,2013,north_east,43
tablet_owner,45-54,2013,pacific,46
tablet_owner,45-54,2013,south,64
tablet_owner,45-54,2013,south_east,28
tablet_owner,45-54,2013,south_west,36
tablet_owner,45-54,2013,west_central,28
tablet_owner,55+,2013,east_central,15
tablet_owner,55+,2013,north_east,43
