All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser East Central,GenralMovie Purchaser East Central Male,Genral Movie Purchaser East Central Female,Movie Purchaser EC 18-24,"Movie Purchaser EC 18-24 male
","Movie Purchaser EC 18-24 Female
",Movie Purchaser EC 25-34,Movie Purchaser EC 25-34 male,Movie Purchaser EC 25-34 Female,Movie Purchaser EC 35-44,Movie Purchaser EC 35-44 Male,Movie Purchaser EC 35-44 Female,Movie Purchaser EC 45-54,Movie Purchaser EC 45-54 Male,Movie Purchaser EC 45-54 Female,Movie Purchaser EC 55+,Movie Purchaser EC 55+ Male,Movie Purchaser EC 55+ Female
,Vert%,68.98,84.18,81.52,75.86,86.65,98.2,96.94,98.98,93.04,88.88,97.9,87.14,81.33,94.18,80.4,72.51,87.33,53.2,41.01,61.9
,Horz%,100,34.27,4.08,1.8,2.28,0.78,0.3,0.49,1.07,0.54,0.53,0.88,0.45,0.43,0.76,0.32,0.44,0.59,0.19,0.4
,Index,100,122,118,110,126,142,141,143,135,129,142,126,118,137,117,105,127,77,59,90
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
# Proj too small for reliability-shown for consistency only.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2013 NCS Adult Full Year Study,,,,,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
"(C) 2013 SMRB, Inc.  All Rights Reserved",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Wednesday, July 18, 2018 / 6:29 PM",,,,,,,,,,,,,,,,,,,,,
