All Respondents and VIDEO GAMES-DO YOU OWN OR PLAY? [YES],,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Gneral Movie Purchaser North East,Gneral Movie Purchaser North East Female,Gneral Movie Purchaser North East Male,Movie Purchaser NE 18-24,"Movie Purchaser NE 18-24 Female
","Movie Purchaser NE 18-24 male
",Movie Purchaser NE 25-34,Movie Purchaser NE 25-34 Female,Movie Purchaser NE 25-34 male,Movie Purchaser NE 35-44,Movie Purchaser NE 35-44 Male,Movie Purchaser NE 35-44 Female,Movie Purchaser NE 45-54,Movie Purchaser NE 45-54 Male,Movie Purchaser NE 45-54 Female,Movie Purchaser NE 55+,Movie Purchaser NE 55+ Male,Movie Purchaser NE 55+ Female
,Vert%,91.44,96.58,97.65,98.19,97.12,100,100,100,99.85,100,99.59,98.92,98.93,98.92,94.81,92.04,100,89.59,91.23,88.17
,Horz%,100,34.07,6.02,2.98,3.04,1.36,0.86,0.49,1.98,0.88,1.1,1.12,0.56,0.56,0.89,0.57,0.33,0.67,0.32,0.35
,Index,100,106,107,107,106,109,109,109,109,109,109,108,108,108,104,101,109,98,100,96
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
# Proj too small for reliability-shown for consistency only.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2017 NCS Adult Full Year Study,,,,,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
(C) 2017 Simmons Research LLC.  All Rights Reserved,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Wednesday, July 18, 2018 / 4:16 PM",,,,,,,,,,,,,,,,,,,,,
