Geography,Gender,age,population
Kentucky,male,45_to_49_years,143654
Kentucky,male,50_to_54_years,147369
Kentucky,male,55_to_59_years,150089
Kentucky,male,60_to_64_years,136195
Kentucky,male,65_to_69_years,115218
Kentucky,male,70_to_74_years,84265
Kentucky,male,75_to_79_years,55290
Kentucky,male,80_to_84_years,33360
Kentucky,male,85_years_and_over,26434
Louisiana,male,Under_5_years,158969
Louisiana,male,5_to_9_years,155807
Louisiana,male,10_to_14_years,156054
Louisiana,male,15_to_19_years,152723
Louisiana,male,20_to_24_years,163149
Louisiana,male,25_to_29_years,175405
Louisiana,male,30_to_34_years,164250
Louisiana,male,35_to_39_years,153496
Louisiana,male,40_to_44_years,132357
Louisiana,male,45_to_49_years,137491
Louisiana,male,50_to_54_years,144409
Louisiana,male,55_to_59_years,151851
Louisiana,male,60_to_64_years,138123
Louisiana,male,65_to_69_years,112014
Louisiana,male,70_to_74_years,80887
Louisiana,male,75_to_79_years,52403
Louisiana,male,80_to_84_years,32718
Louisiana,male,85_years_and_over,27340
Maine,male,Under_5_years,33253
Maine,male,5_to_9_years,35020
Maine,male,10_to_14_years,37778
Maine,male,15_to_19_years,40931
Maine,male,20_to_24_years,39051
Maine,male,25_to_29_years,40571
Maine,male,30_to_34_years,39049
Maine,male,35_to_39_years,37902
Maine,male,40_to_44_years,36602
Maine,male,45_to_49_years,43175
Maine,male,50_to_54_years,47915
Maine,male,55_to_59_years,52429
Maine,male,60_to_64_years,49823
Maine,male,65_to_69_years,43564
Maine,male,70_to_74_years,32662
Maine,male,75_to_79_years,20178
Maine,male,80_to_84_years,13232
Maine,male,85_years_and_over,11385
Maryland,male,Under_5_years,186904
Maryland,male,5_to_9_years,190488
Maryland,male,10_to_14_years,191816
Maryland,male,15_to_19_years,196599
Maryland,male,20_to_24_years,196744
Maryland,male,25_to_29_years,211435
Maryland,male,30_to_34_years,205133
Maryland,male,35_to_39_years,197521
Maryland,male,40_to_44_years,177896
Maryland,male,45_to_49_years,197112
Maryland,male,50_to_54_years,208729
Maryland,male,55_to_59_years,206993
Maryland,male,60_to_64_years,175796
Maryland,male,65_to_69_years,139795
Maryland,male,70_to_74_years,103283
Maryland,male,75_to_79_years,66531
Maryland,male,80_to_84_years,41698
Maryland,male,85_years_and_over,39681
Massachusetts,male,Under_5_years,183999
Massachusetts,male,5_to_9_years,189325
Massachusetts,male,10_to_14_years,198877
Massachusetts,male,15_to_19_years,228388
Massachusetts,male,20_to_24_years,247129
Massachusetts,male,25_to_29_years,252198
Massachusetts,male,30_to_34_years,236497
Massachusetts,male,35_to_39_years,212403
Massachusetts,male,40_to_44_years,195122
Massachusetts,male,45_to_49_years,220837
Massachusetts,male,50_to_54_years,237990
Massachusetts,male,55_to_59_years,238902
Massachusetts,male,60_to_64_years,208600
Massachusetts,male,65_to_69_years,169520
Massachusetts,male,70_to_74_years,125386
Massachusetts,male,75_to_79_years,78690
Massachusetts,male,80_to_84_years,53191
Massachusetts,male,85_years_and_over,53311
Michigan,male,Under_5_years,293086
Michigan,male,5_to_9_years,300766
Michigan,male,10_to_14_years,318110
Michigan,male,15_to_19_years,337602
Michigan,male,20_to_24_years,359852
Michigan,male,25_to_29_years,345328
Michigan,male,30_to_34_years,298658
Michigan,male,35_to_39_years,294313
Michigan,male,40_to_44_years,278898
Michigan,male,45_to_49_years,317985
Michigan,male,50_to_54_years,335374
Michigan,male,55_to_59_years,354608
Michigan,male,60_to_64_years,325289
Michigan,male,65_to_69_years,267903
Michigan,male,70_to_74_years,194846
