Geography,Gender,Under_5_years,5_to_9_years,10_to_14_years,15_to_19_years,20_to_24_years,25_to_29_years,30_to_34_years,35_to_39_years,40_to_44_years,45_to_49_years,50_to_54_years,55_to_59_years,60_to_64_years,65_to_69_years,70_to_74_years,75_to_79_years,80_to_84_years,85_years_and_over
Idaho,female,57373,60310,62542,59434,53648,56481,54400,55557,49421,49647,49986,54852,53222,46691,35524,23959,15833,17605
Illinois,female,377795,387212,404458,408244,425727,445164,432355,425670,394867,420728,430410,450310,408475,339099,258297,187460,136466,176808
Indiana,female,205085,211345,217903,223054,231403,223686,208517,210822,198140,210403,219001,232349,214293,180763,137174,98565,70657,86563
Iowa,female,97192,98868,100938,104979,110509,97340,95620,97879,85951,91634,97695,109344,101647,86409,64678,48981,38576,52738
Kansas,female,94709,97539,98015,96711,102116,92831,93590,92005,81353,83832,88946,99094,92034,75893,57113,41372,31677,42337
Kentucky,female,134750,135281,139244,140011,145649,150402,136646,141288,134476,145115,151952,159826,148449,127851,98059,69781,47912,53179
Louisiana,female,153069,150183,150117,146946,156533,175232,164800,156523,136072,143695,153479,163925,152292,127269,96249,68320,47595,52588
Maine,female,31249,33406,35696,38473,37439,39529,39264,38998,37832,44772,50356,55732,53448,47028,35266,24071,17485,21343
Maryland,female,179481,183334,184885,188265,189678,210016,211334,205159,188834,212447,225689,226387,198831,164735,125762,86287,60082,76817
Massachusetts,female,176589,180974,191473,226569,247031,247423,237813,218232,204744,234305,251840,254590,229360,192848,148957,102281,77246,107179
Michigan,female,280196,287203,304083,323738,342820,330759,294358,297864,284759,324169,344964,370526,349807,294462,222007,155671,111342,139831
Minnesota,female,173439,176223,179935,174958,179390,180704,189679,184352,157723,170302,184079,200029,177936,146932,108708,78585,58390,78396
Mississippi,female,92007,97219,100151,101191,103367,104073,95348,96987,90778,95996,98078,104374,97578,83076,64105,46521,32504,34869
Missouri,female,182682,185963,191176,191316,202180,209567,199156,194232,175324,189181,202011,221726,204132,173787,135240,97636,70591,85396
Montana,female,30798,31017,31262,30363,34367,33372,32191,31839,27957,29262,32123,38706,39185,33177,24021,16508,11441,13948
Nebraska,female,64664,64770,64762,63964,67285,60935,62755,61458,53775,54372,57270,63823,59014,50242,36823,27045,21130,27858
Nevada,female,90801,93581,94910,86909,89416,111106,105156,101697,94865,99352,96148,95985,92365,82955,65765,42539,26176,24564
New Hampshire,female,31414,33631,37811,41865,44306,39701,39303,38447,37724,46578,52533,56241,50156,41683,31429,20428,14949,19587
New Jersey,female,255234,265004,277127,276014,279882,286968,289914,296057,286288,318911,337388,335718,294659,241225,193305,137771,101768,135837
New Mexico,female,62527,67121,68679,67846,68840,69164,67047,64175,58214,60664,64629,72711,70810,63249,47916,33054,22596,24684
New York,female,568433,554799,558695,600098,680026,762735,706031,650645,601518,661197,705026,713765,642095,544219,424083,307711,228531,302330
North Carolina,female,298253,310665,322735,331778,334435,357172,332287,334237,326748,356429,353227,359507,336223,297283,232306,157239,110415,121042
North Dakota,female,26497,24218,22587,22705,30303,27373,24578,22682,18641,19015,21014,24376,22636,17635,13187,9857,8521,12269
Ohio,female,341599,346324,361409,374594,376337,394315,363259,358962,335818,375535,393842,429895,402081,341182,255681,187924,137541,169211
Oklahoma,female,128753,131572,131063,127864,131774,138274,130846,126781,113212,116031,119467,131370,122305,103709,82820,59688,42072,45701
Oregon,female,114917,118882,120194,120366,129632,146156,143258,142805,128182,130282,126653,140593,143826,129014,96802,63280,42076,52869
Pennsylvania,female,346569,356298,368969,399719,409452,426344,403574,384857,359775,412831,447755,480859,452217,381859,297657,216277,165756,223440
Rhode Island,female,26716,27134,29084,36449,39130,37298,33990,32209,29996,35166,38916,40472,37007,29919,23370,16285,12473,19034
South Carolina,female,143689,151876,154120,157183,161521,177386,159746,158912,150956,164206,172206,179327,175543,160466,125685,82660,54434,56766
South Dakota,female,29916,29380,28909,27226,28463,27289,27118,26372,22406,23216,25828,29842,28409,24059,16782,12026,9791,13674
Tennessee,female,200090,202853,208860,207240,220953,242464,218514,216812,206534,224779,230360,236522,223177,193541,150958,105290,72623,78448
Texas,female,993025,1000805,1012736,978094,962303,1035086,1009319,982601,918452,917835,868571,867324,772451,633332,478713,327494,230583,254079
Utah,female,124123,125974,127051,118837,123890,117124,107879,112466,94928,82494,74699,78738,72282,59750,45212,30996,21624,22078
Vermont,female,14469,15217,16429,20438,22429,17640,18180,18175,16992,20054,22579,25367,24227,20687,15694,10274,7206,9344
Virginia,female,249839,252410,257113,265153,280468,294960,290404,285670,264513,287360,298165,299611,269081,227762,178395,121475,83789,97125
Washington,female,223395,226827,221744,216216,229578,274047,265845,253594,225474,235643,234285,249766,239781,204546,152852,97924,66807,83946
West Virginia,female,48113,49755,50892,52305,55830,55097,50271,54758,53993,58446,61041,67304,67323,61951,46308,33685,24172,25993
Wisconsin,female,164166,172527,179858,186254,197742,176576,180338,180468,162441,179081,200294,216194,195812,163786,120833,87040,65038,84297
Wyoming,female,17899,19020,18800,17250,17946,18891,19268,18427,15958,15758,16790,20122,20001,16072,11639,7964,5530,6542
Puerto Rico,female,72179,87512,96367,108875,115188,113419,99844,110565,109680,112821,120689,118753,114718,107679,94981,69057,49261,52886
