index,category,gender,age,year,division,population
14,video_game,Male,55+,2013,west_central,21
14,video_game,Male,55+,2014,north_east_central,25
20,digital_music,Male,18-24,2014,north_east_central,54
20,tv,Male,18-24,2013,east_central,23
20,tv,Male,18-24,2013,pacific,55
20,tv,Male,18-24,2013,south,58
20,tv,Male,18-24,2013,south_east,20
20,tv,Male,18-24,2013,south_west,38
20,tv,Male,18-24,2013,west_central,41
21,digital_music,Male,25-34,2014,north_east_central,70
21,tv,Male,25-34,2013,east_central,38
21,tv,Male,25-34,2013,pacific,66
21,tv,Male,25-34,2013,south,135
21,tv,Male,25-34,2013,south_east,61
21,tv,Male,25-34,2013,south_west,74
21,tv,Male,25-34,2013,west_central,63
22,digital_music,Male,35-44,2014,north_east_central,98
22,tv,Male,35-44,2013,east_central,63
22,tv,Male,35-44,2013,pacific,97
22,tv,Male,35-44,2013,south,182
22,tv,Male,35-44,2013,south_east,68
22,tv,Male,35-44,2013,south_west,114
22,tv,Male,35-44,2013,west_central,76
23,digital_music,Male,45-54,2014,north_east_central,114
23,tv,Male,45-54,2013,east_central,62
23,tv,Male,45-54,2013,pacific,102
23,tv,Male,45-54,2013,south,157
23,tv,Male,45-54,2013,south_east,68
23,tv,Male,45-54,2013,south_west,89
23,tv,Male,45-54,2013,west_central,77
24,digital_music,Male,55+,2014,north_east_central,183
24,tv,Male,55+,2013,east_central,72
24,tv,Male,55+,2013,pacific,129
24,tv,Male,55+,2013,south,233
24,tv,Male,55+,2013,south_east,140
24,tv,Male,55+,2013,south_west,93
24,tv,Male,55+,2013,west_central,101
30,radio,Male,18-24,2013,east_central,17
30,radio,Male,18-24,2013,pacific,41
30,radio,Male,18-24,2013,south,48
30,radio,Male,18-24,2013,south_east,19
30,radio,Male,18-24,2013,south_west,29
30,radio,Male,18-24,2013,west_central,31
30,tv,Male,18-24,2014,north_east_central,43
31,radio,Male,25-34,2013,east_central,39
31,radio,Male,25-34,2013,pacific,60
31,radio,Male,25-34,2013,south,120
31,radio,Male,25-34,2013,south_east,51
31,radio,Male,25-34,2013,south_west,69
31,radio,Male,25-34,2013,west_central,63
31,tv,Male,25-34,2014,north_east_central,50
32,radio,Male,35-44,2013,east_central,52
32,radio,Male,35-44,2013,pacific,83
32,radio,Male,35-44,2013,south,158
32,radio,Male,35-44,2013,south_east,58
32,radio,Male,35-44,2013,south_west,100
32,radio,Male,35-44,2013,west_central,64
32,tv,Male,35-44,2014,north_east_central,86
33,radio,Male,45-54,2013,east_central,53
33,radio,Male,45-54,2013,pacific,92
33,radio,Male,45-54,2013,south,137
33,radio,Male,45-54,2013,south_east,58
33,radio,Male,45-54,2013,south_west,79
33,radio,Male,45-54,2013,west_central,76
33,tv,Male,45-54,2014,north_east_central,99
34,radio,Male,55+,2013,east_central,62
34,radio,Male,55+,2013,pacific,95
34,radio,Male,55+,2013,south,171
34,radio,Male,55+,2013,south_east,96
34,radio,Male,55+,2013,south_west,75
34,radio,Male,55+,2013,west_central,81
34,tv,Male,55+,2014,north_east_central,173
40,magazine,Male,18-24,2013,east_central,31
40,magazine,Male,18-24,2013,pacific,76
40,magazine,Male,18-24,2013,south,76
40,magazine,Male,18-24,2013,south_east,26
40,magazine,Male,18-24,2013,south_west,50
40,magazine,Male,18-24,2013,west_central,52
40,radio,Male,18-24,2014,north_east_central,34
41,magazine,Male,25-34,2013,east_central,49
41,magazine,Male,25-34,2013,pacific,86
41,magazine,Male,25-34,2013,south,158
41,magazine,Male,25-34,2013,south_east,72
41,magazine,Male,25-34,2013,south_west,86
41,magazine,Male,25-34,2013,west_central,75
41,radio,Male,25-34,2014,north_east_central,50
42,magazine,Male,35-44,2013,east_central,69
42,magazine,Male,35-44,2013,pacific,107
42,magazine,Male,35-44,2013,south,187
42,magazine,Male,35-44,2013,south_east,73
42,magazine,Male,35-44,2013,south_west,114
42,magazine,Male,35-44,2013,west_central,85
42,radio,Male,35-44,2014,north_east_central,78
43,magazine,Male,45-54,2013,east_central,64
43,magazine,Male,45-54,2013,pacific,104
43,magazine,Male,45-54,2013,south,160
43,magazine,Male,45-54,2013,south_east,67
43,magazine,Male,45-54,2013,south_west,93
43,magazine,Male,45-54,2013,west_central,84
43,radio,Male,45-54,2014,north_east_central,94
44,magazine,Male,55+,2013,east_central,75
44,magazine,Male,55+,2013,pacific,137
44,magazine,Male,55+,2013,south,236
44,magazine,Male,55+,2013,south_east,137
44,magazine,Male,55+,2013,south_west,99
44,magazine,Male,55+,2013,west_central,103
44,radio,Male,55+,2014,north_east_central,140
50,magazine,Male,18-24,2014,north_east_central,44
50,movie_goers,Male,18-24,2013,east_central,31
50,movie_goers,Male,18-24,2013,pacific,78
50,movie_goers,Male,18-24,2013,south,78
50,movie_goers,Male,18-24,2013,south_east,27
50,movie_goers,Male,18-24,2013,south_west,51
50,movie_goers,Male,18-24,2013,west_central,55
51,magazine,Male,25-34,2014,north_east_central,62
51,movie_goers,Male,25-34,2013,east_central,51
51,movie_goers,Male,25-34,2013,pacific,89
51,movie_goers,Male,25-34,2013,south,160
51,movie_goers,Male,25-34,2013,south_east,72
51,movie_goers,Male,25-34,2013,south_west,88
51,movie_goers,Male,25-34,2013,west_central,78
52,magazine,Male,35-44,2014,north_east_central,79
52,movie_goers,Male,35-44,2013,east_central,71
52,movie_goers,Male,35-44,2013,pacific,111
52,movie_goers,Male,35-44,2013,south,198
52,movie_goers,Male,35-44,2013,south_east,76
52,movie_goers,Male,35-44,2013,south_west,122
52,movie_goers,Male,35-44,2013,west_central,85
53,magazine,Male,45-54,2014,north_east_central,95
53,movie_goers,Male,45-54,2013,east_central,64
53,movie_goers,Male,45-54,2013,pacific,112
53,movie_goers,Male,45-54,2013,south,170
53,movie_goers,Male,45-54,2013,south_east,74
53,movie_goers,Male,45-54,2013,south_west,96
53,movie_goers,Male,45-54,2013,west_central,87
54,magazine,Male,55+,2014,north_east_central,164
54,movie_goers,Male,55+,2013,east_central,78
54,movie_goers,Male,55+,2013,pacific,141
54,movie_goers,Male,55+,2013,south,247
54,movie_goers,Male,55+,2013,south_east,145
54,movie_goers,Male,55+,2013,south_west,102
54,movie_goers,Male,55+,2013,west_central,109
60,movie_goers,Male,18-24,2014,north_east_central,54
60,supermarket_goer_last_4_weeks,Male,18-24,2013,east_central,30
60,supermarket_goer_last_4_weeks,Male,18-24,2013,pacific,74
60,supermarket_goer_last_4_weeks,Male,18-24,2013,south,77
60,supermarket_goer_last_4_weeks,Male,18-24,2013,south_east,26
60,supermarket_goer_last_4_weeks,Male,18-24,2013,south_west,51
60,supermarket_goer_last_4_weeks,Male,18-24,2013,west_central,52
61,movie_goers,Male,25-34,2014,north_east_central,70
61,supermarket_goer_last_4_weeks,Male,25-34,2013,east_central,51
61,supermarket_goer_last_4_weeks,Male,25-34,2013,pacific,86
