age_label,all_live_theater/concerts/dance-attended_last_12_months,magazine,movie_goers,radio,social_media_[social_media_user],supermarket_goer_last_4_weeks,tablet_owner,tv,video_game
18,0.620315327,0.963168777,1,0.677694495,0.964848798,0.939131559,0.321271646,0.839751874,0.683122254
18,0.656586967,0.825128926,1,0.69456165,0.975152368,0.981481481,0.328762307,0.822198781,0.641115799
18,0.980769231,1,0.954487179,0.746153846,0.68525641,0.425641026,0.653205128,0.676923077,0.587179487
18,0.619047619,0.776760057,1,0.69209257,0.979731117,0.974522783,0.467723727,0.794001437,0.622357348
18,0.627777778,0.801851852,1,0.714814815,1,0.948148148,0.540740741,0.722222222,0.966666667
25,0.573870574,0.955433455,1,0.677655678,0.927350427,0.963980464,0.392551893,0.873626374,0.543345543
25,0.541100703,0.897775176,1,0.75058548,0.950936768,1,0.511358314,0.779274005,0.62236534
25,0.966042781,1,0.973395722,0.778877005,0.787967914,0.476203209,0.731951872,0.784491979,0.587566845
25,0.657475226,0.871176217,1,0.749504524,0.865316674,0.981818182,0.460275743,0.839551917,0.334338647
25,0.647969052,0.760154739,1,0.669245648,0.989361702,0.989361702,0.572775629,0.790618956,0.954545455
35,0.595878136,0.947900666,1,0.785074245,0.879672299,0.992063492,0.470430108,0.921530978,0.551075269
35,0.607225148,0.830480579,1,0.793120474,0.961323239,0.990865701,0.54863397,0.902485188,0.559907834
35,0.940542245,1,1,0.775977301,0.774968474,0.592496847,0.633984868,0.916456494,0.544892812
35,0.610428787,0.902858579,1,0.805717159,0.957552252,0.98304963,0.660848955,0.90706026,0.35980033
35,0.511781012,0.864864865,1,0.750866251,0.948024948,0.948024948,0.617117117,0.881150381,0.934511435
45,0.587464361,0.956819645,1,0.823461786,0.805573439,0.98553757,0.329784788,0.887726478,0.369355284
45,0.56876862,0.882075472,1,0.824230387,0.818603112,0.986180073,0.424445548,0.912197948,0.374048328
45,0.89877193,1,0.991403509,0.922105263,0.817192982,0.564210526,0.699298246,0.924035088,0.359473684
45,0.573170732,0.695121951,1,0.591463415,0.975609756,0.975609756,0.37195122,0.768292683,0.835365854
45,0.598351648,0.856593407,1,0.842307692,0.914285714,0.985714286,0.640659341,0.856043956,0.913736264
55,0.577990431,0.953588517,1,0.789204545,0.623564593,0.977900718,0.256369617,0.950538278,0.229216507
55,0.573585881,0.932321666,1,0.763144292,0.677300251,0.986818786,0.340754689,0.943398316,0.169657362
55,0.68900299,1,0.991079553,0.916515014,0.76288509,0.397715456,0.606752892,0.950295723,0.181008709
55,0.565754103,0.829088851,1,0.749823147,0.761460102,0.984755235,0.405843237,0.94680249,0.303551217
55,0.520242915,0.856950067,1,0.766869096,0.883265857,0.986842105,0.557692308,0.96120108,0.752361673
18,0.524535809,0.964190981,1,0.636383731,0.963527851,0.968611848,0.24933687,0.772104332,0.638815208
18,0.546707874,0.827522515,1,0.749269624,0.905811623,0.995991984,0.390153802,0.818395828,0.45134848
18,0.7,0.725490196,1,0.596078431,0.956862745,0.984313725,0.388235294,0.696078431,0.584313725
18,0.598297214,0.743421053,1,0.660216718,0.979489164,0.945820433,0.349458204,0.649767802,0.631578947
18,0.735833333,0.7375,1.041666667,0.550833333,1.021666667,0.940833333,0.245833333,0.6975,1
25,0.516946792,0.970749373,1,0.758566255,0.89506918,0.983146067,0.361268456,0.788141889,0.555436902
