Cat,Gender,Age,Year,Region,Pop
MAGAZINE,Female,45-54,2014,Central East,87
MAGAZINE,Female,55+,2014,Central East,107
MOVIE_GOERS,Male,28-24,2014,Central East,28
MOVIE_GOERS,Male,25-34,2014,Central East,51
MOVIE_GOERS,Male,35-44,2014,Central East,77
MOVIE_GOERS,Male,45-54,2014,Central East,81
MOVIE_GOERS,Male,55+,2014,Central East,76
MOVIE_GOERS,Female,28-24,2014,Central East,49
MOVIE_GOERS,Female,25-34,2014,Central East,90
MOVIE_GOERS,Female,35-44,2014,Central East,105
MOVIE_GOERS,Female,45-54,2014,Central East,95
MOVIE_GOERS,Female,55+,2014,Central East,112
SUPERMARKET_GOER_LAST_4_WEEKS,Male,28-24,2014,Central East,25
SUPERMARKET_GOER_LAST_4_WEEKS,Male,25-34,2014,Central East,50
SUPERMARKET_GOER_LAST_4_WEEKS,Male,35-44,2014,Central East,75
SUPERMARKET_GOER_LAST_4_WEEKS,Male,45-54,2014,Central East,79
SUPERMARKET_GOER_LAST_4_WEEKS,Male,55+,2014,Central East,75
SUPERMARKET_GOER_LAST_4_WEEKS,Female,28-24,2014,Central East,49
SUPERMARKET_GOER_LAST_4_WEEKS,Female,25-34,2014,Central East,90
SUPERMARKET_GOER_LAST_4_WEEKS,Female,35-44,2014,Central East,105
SUPERMARKET_GOER_LAST_4_WEEKS,Female,45-54,2014,Central East,94
SUPERMARKET_GOER_LAST_4_WEEKS,Female,55+,2014,Central East,111
TABLET_OWNER,Male,28-24,2014,Central East,6
TABLET_OWNER,Male,25-34,2014,Central East,20
TABLET_OWNER,Male,35-44,2014,Central East,35
TABLET_OWNER,Male,45-54,2014,Central East,29
TABLET_OWNER,Male,55+,2014,Central East,24
TABLET_OWNER,Female,28-24,2014,Central East,17
TABLET_OWNER,Female,25-34,2014,Central East,50
TABLET_OWNER,Female,35-44,2014,Central East,57
TABLET_OWNER,Female,45-54,2014,Central East,38
TABLET_OWNER,Female,55+,2014,Central East,34
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,28-24,2014,Central East,10
All_LIVE_THEATER/CONCERTS/DANCE-ATTENDED_LAST_12_MONTHS,Male,25-34,2014,Central East,28
