category,age,year,division,population
magazine,55+,2013,south_west,139
magazine,55+,2013,west_central,134
radio,55+,2014,north_east,169
magazine,18-24,2014,north_east,66
movie_goers,18-24,2013,east_central,40
movie_goers,18-24,2013,pacific,87
movie_goers,18-24,2013,south,134
movie_goers,18-24,2013,south_east,50
movie_goers,18-24,2013,south_west,84
movie_goers,18-24,2013,west_central,62
magazine,25-34,2014,north_east,111
movie_goers,25-34,2013,east_central,73
movie_goers,25-34,2013,pacific,121
movie_goers,25-34,2013,south,240
movie_goers,25-34,2013,south_east,91
movie_goers,25-34,2013,south_west,149
movie_goers,25-34,2013,west_central,101
magazine,35-44,2014,north_east,106
movie_goers,35-44,2013,east_central,66
movie_goers,35-44,2013,pacific,146
movie_goers,35-44,2013,south,259
movie_goers,35-44,2013,south_east,115
movie_goers,35-44,2013,south_west,144
movie_goers,35-44,2013,west_central,93
magazine,45-54,2014,north_east,148
movie_goers,45-54,2013,east_central,101
movie_goers,45-54,2013,pacific,171
movie_goers,45-54,2013,south,242
movie_goers,45-54,2013,south_east,130
movie_goers,45-54,2013,south_west,112
movie_goers,45-54,2013,west_central,95
magazine,55+,2014,north_east,215
movie_goers,55+,2013,east_central,127
movie_goers,55+,2013,pacific,176
movie_goers,55+,2013,south,285
movie_goers,55+,2013,south_east,140
movie_goers,55+,2013,south_west,145
movie_goers,55+,2013,west_central,141
movie_goers,18-24,2014,north_east,79
supermarket_goer_last_4_weeks,18-24,2013,east_central,39
supermarket_goer_last_4_weeks,18-24,2013,pacific,86
supermarket_goer_last_4_weeks,18-24,2013,south,133
supermarket_goer_last_4_weeks,18-24,2013,south_east,49
supermarket_goer_last_4_weeks,18-24,2013,south_west,84
supermarket_goer_last_4_weeks,18-24,2013,west_central,62
movie_goers,25-34,2014,north_east,122
supermarket_goer_last_4_weeks,25-34,2013,east_central,73
supermarket_goer_last_4_weeks,25-34,2013,pacific,121
supermarket_goer_last_4_weeks,25-34,2013,south,238
supermarket_goer_last_4_weeks,25-34,2013,south_east,91
supermarket_goer_last_4_weeks,25-34,2013,south_west,147
supermarket_goer_last_4_weeks,25-34,2013,west_central,101
movie_goers,35-44,2014,north_east,124
