All Respondents,,,,,,,,,,,,,,,,,,,,,
,,Totals,General Movie Purchaser,Genral Movie Purchaser South East,Genral Movie Purchaser South East Male,Genral Movie Purchaser South East Female,Movie Purchaser South East 18-24,"Movie Purchaser South East 18-24 male
","Movie Purchaser South East 18-24 Female
",Movie Purchaser South East 25-34,Movie Purchaser South East 25-34 male,Movie Purchaser South East 25-34 Female,Movie Purchaser South East 35-44,Movie Purchaser South East 35-44 Male,Movie Purchaser South East 35-44 Female,Movie Purchaser South East 45-54,Movie Purchaser South East 45-54 Male,Movie Purchaser South East 45-54 Female,Movie Purchaser South East 55+,Movie Purchaser South East 55+ Male,Movie Purchaser South East 55+ Female
,Vert%,72.59,79.4,75.24,66.36,82.61,69.75,47.96,89.26,81.08,70.33,89.1,75.22,64.6,83.9,78.44,70.04,83.64,71.29,72.73,69.75
,Horz%,100,27.93,5.29,2.11,3.17,0.72,0.24,0.49,1.23,0.45,0.77,1.08,0.42,0.66,0.99,0.34,0.65,1.27,0.67,0.6
,Index,100,109,104,91,114,96,66,123,112,97,123,104,89,116,108,96,115,98,100,96
MAGAZINE,Unwgt,21921,5698,821,332,489,81,27,54,133,48,85,160,58,102,183,70,113,264,129,135
,(000s),190820,51486,10220,4541,5679,1485,704#,781*,2124,775*,1349,2116,950*,1166,1759,711,1048,2736,1400,1336
,Vert%,81.54,86.15,85.62,83.92,87.03,84.14,84.41,83.89,82.68,70.97,91.33,86.97,86.44,87.34,82.43,86.6,79.76,90.18,89.4,91.01
,Horz%,100,26.98,5.36,2.38,2.98,0.78,0.37,0.41,1.11,0.41,0.71,1.11,0.5,0.61,0.92,0.37,0.55,1.43,0.73,0.7
,Index,100,106,105,103,107,103,104,103,101,87,112,107,106,107,101,106,98,111,110,112
MOVIE GOERS,Unwgt,27446,6622,955,395,560,98,34,64,161,64,97,191,71,120,218,85,133,287,141,146
,(000s),234034,59760,11936,5411,6525,1765,834*,931,2569,1092,1477,2433,1099,1335,2134,821,1314,3034,1566,1468
,Vert%,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Horz%,100,25.53,5.1,2.31,2.79,0.75,0.36,0.4,1.1,0.47,0.63,1.04,0.47,0.57,0.91,0.35,0.56,1.3,0.67,0.63
,Index,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SUPERMARKET GOER LAST 4 WEEKS,Unwgt,26457,6542,948,390,558,98,34,64,159,62,97,189,69,120,217,85,132,285,140,145
,(000s),227019,59228,11824,5335,6489,1765,834*,931,2519,1042,1477,2407,1072,1335,2101,821,1280,3032,1566,1465
,Vert%,97,99.11,99.06,98.6,99.45,100,100,100,98.05,95.42,100,98.93,97.54,100,98.45,100,97.41,99.93,100,99.8
,Horz%,100,26.09,5.21,2.35,2.86,0.78,0.37,0.41,1.11,0.46,0.65,1.06,0.47,0.59,0.93,0.36,0.56,1.34,0.69,0.65
,Index,100,102,102,102,103,103,103,103,101,98,103,102,101,103,101,103,100,103,103,103
TABLET OWNER,Unwgt,8845,2791,403,147,256,32,10,22,75,25,50,98,37,61,104,33,71,94,42,52
,(000s),75009,25141,5010,1991,3019,383*,96#,287#,1111,247#,864*,1409,725*,684,960,283*,677,1146,640*,506*
,Vert%,32.05,42.07,41.97,36.8,46.27,21.7,11.51,30.83,43.25,22.62,58.5,57.91,65.97,51.24,44.99,34.47,51.52,37.77,40.87,34.47
,Horz%,100,33.52,6.68,2.65,4.02,0.51,0.13,0.38,1.48,0.33,1.15,1.88,0.97,0.91,1.28,0.38,0.9,1.53,0.85,0.67
,Index,100,131,131,115,144,68,36,96,135,71,183,181,206,160,140,108,161,118,128,108
All LIVE THEATER/CONCERTS/DANCE-ATTENDED LAST 12 MONTHS,Unwgt,11617,3450,463,169,294,51,15,36,78,26,52,87,25,62,114,43,71,133,60,73
,(000s),97217,30518,5830,2345,3485,851*,342#,508*,1262,466#,796*,1211,433#,778,1172,477*,695,1336,627*,709
,Vert%,41.54,51.07,48.84,43.34,53.41,48.22,41.01,54.56,49.12,42.67,53.89,49.77,39.4,58.28,54.92,58.1,52.89,44.03,40.04,48.3
,Horz%,100,31.39,6,2.41,3.58,0.88,0.35,0.52,1.3,0.48,0.82,1.25,0.45,0.8,1.21,0.49,0.71,1.37,0.64,0.73
,Index,100,123,118,104,129,116,99,131,118,103,130,120,95,140,132,140,127,106,96,116
SOCIAL MEDIA [SOCIAL MEDIA USER],Unwgt,19439,5601,817,320,497,93,32,61,154,60,94,178,62,116,194,73,121,198,93,105
,(000s),168880,51870,10561,4683,5878,1751,827*,923,2356,964*,1391,2284,996,1288,1940,746,1194,2231,1149,1082
,Vert%,72.16,86.8,88.48,86.55,90.08,99.21,99.16,99.14,91.71,88.28,94.18,93.88,90.63,96.48,90.91,90.86,90.87,73.53,73.37,73.71
,Horz%,100,30.71,6.25,2.77,3.48,1.04,0.49,0.55,1.4,0.57,0.82,1.35,0.59,0.76,1.15,0.44,0.71,1.32,0.68,0.64
,Index,100,120,123,120,125,137,137,137,127,122,131,130,126,134,126,126,126,102,102,102
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2014 NCS Adult Full Year Study,,,,,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
"(C) 2014 SMRB, Inc.  All Rights Reserved",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Thursday, July 19, 2018 / 6:50 PM",,,,,,,,,,,,,,,,,,,,,
